Files already downloaded and verified
CIFAR100_resnet50_350_100_0.1_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.1 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/text/log_CIFAR100_resnet50_350_100_0.1_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=3
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
3, 6852, 0.0242, 0.0000, 98.438, 100.000, 1.000, 1436.463457107544, 0.0473, 0.0002, 0.647, 0.908, 0.0204, 0.0369, 65.5612, 3956.843620300293 
4, 6502, 0.0060, 0.0000, 100.000, 100.000, 1.000, 1910.548475265503, 0.0511, 0.0001, 0.623, 0.970, 0.0199, 0.0051, 47.7404, 7904.149509429932 
5, 6152, 0.0223, 0.0125, 98.438, 100.000, 0.875, 2386.482977628708, 0.0628, 0.0000, 0.531, 0.995, 0.0180, 0.0123, 47.5997, 11818.376205921173 
6, 5802, 0.0324, 0.0000, 100.000, 100.000, 1.000, 2864.0733280181885, 0.0701, 0.0000, 0.477, 0.997, 0.0064, 0.0066, 47.7582, 15730.464584112167 
7, 5452, 0.1139, 0.0000, 95.312, 100.000, 1.000, 3343.632914543152, 0.0514, 0.0000, 0.611, 0.984, 0.0352, 0.0208, 47.5903, 19669.196125507355 
8, 4752, 0.1167, 0.0000, 96.875, 100.000, 1.000, 3876.3173224925995, 0.0591, 0.0000, 0.543, 0.989, 0.0057, 0.0119, 47.7102, 23591.738642454147 
9, 4402, 0.2255, 0.0000, 93.750, 100.000, 1.000, 4361.2094938755035, 0.0583, 0.0000, 0.542, 0.992, 0.0341, 0.0000, 47.5346, 27514.208866596222 
10, 4052, 0.3151, 0.0000, 90.625, 100.000, 1.000, 4846.831186532974, 0.0557, 0.0000, 0.566, 0.983, 0.0339, 0.0000, 47.4311, 31429.264499425888 
11, 3702, 0.3041, 0.0017, 92.188, 100.000, 0.969, 5334.722627162933, 0.0568, 0.0000, 0.550, 0.985, 0.0114, 0.0240, 47.6198, 35346.29160094261 
12, 3352, 0.4373, 0.0184, 82.812, 100.000, 0.844, 5824.7640998363495, 0.1228, 0.0000, 0.141, 1.000, 0.0000, 0.0000, 47.5483, 39167.409717321396 
13, 3002, 0.5930, 0.0000, 81.250, 98.438, 1.000, 6316.3795773983, 0.0755, 0.0000, 0.420, 0.988, 0.0072, 0.0199, 47.6921, 43070.51537132263 
14, 2652, 0.6437, 0.0007, 84.375, 96.875, 0.969, 6809.52330827713, 0.0963, 0.0000, 0.292, 0.999, 0.0404, 0.0000, 47.6934, 46935.24416804314 
15, 2302, 0.7586, 0.0000, 78.125, 96.875, 1.000, 7304.21076130867, 0.0876, 0.0000, 0.326, 0.985, 0.0098, 0.0381, 47.5334, 50811.97901105881 
16, 1952, 1.0235, 0.0000, 75.000, 90.625, 1.000, 7930.492337465286, 0.0764, 0.0001, 0.409, 0.939, 0.0246, 0.0362, 47.6088, 54711.5886054039 
17, 1602, 1.0609, 0.0000, 73.438, 92.188, 1.000, 8429.61281967163, 0.1081, 0.0000, 0.207, 0.983, 0.0317, 0.0290, 47.5831, 58562.274743795395 
18, 1252, 1.4103, 0.0110, 56.250, 89.062, 0.906, 8930.346432209015, 0.1150, 0.0000, 0.163, 0.997, 0.0000, 0.0000, 47.4089, 62399.07571363449 
19, 902, 1.8659, 0.0002, 50.000, 75.000, 0.969, 9432.606216192245, 0.1242, 0.0000, 0.111, 0.999, 0.0000, 0.0000, 47.5951, 66220.7072482109 
20, 552, 2.7356, 0.0000, 25.000, 60.938, 1.000, 9936.87100315094, 0.1178, 0.0004, 0.135, 0.756, 0.1250, 0.1000, 47.5637, 70050.20227599144 
21, 202, 3.6574, 0.0140, 14.062, 39.062, 0.844, 10442.980780601501, 0.1289, 0.0001, 0.080, 0.944, 0.1154, 0.0000, 47.7045, 73873.7455496788 
22, 0, 3.9909, 0.0002, 15.625, 31.250, 0.969, 10950.651590824127, 0.1351, 0.0000, 0.057, 0.989, 0.3000, 0.2143, 47.5629, 77678.43410944939 
