Files already downloaded and verified
CIFAR100_resnet50_350_100_0.2_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.2 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/text/log_CIFAR100_resnet50_350_100_0.2_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=3
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
3, 6852, 0.0227, 0.0000, 98.438, 100.000, 1.000, 1438.9067010879517, 0.0657, 0.0000, 0.507, 0.997, 0.0194, 0.0282, 65.8129, 3925.818462371826 
4, 6502, 0.0086, 0.0000, 100.000, 100.000, 1.000, 1914.6414096355438, 0.0465, 0.0003, 0.653, 0.896, 0.0274, 0.0048, 47.8660, 7879.151913881302 
5, 6152, 0.0243, 0.0000, 100.000, 100.000, 1.000, 2392.301267385483, 0.1049, 0.0000, 0.254, 1.000, 0.0125, 0.0115, 47.9857, 11731.863916873932 
6, 5802, 0.0380, 0.0000, 98.438, 100.000, 1.000, 2871.674569606781, 0.0904, 0.0000, 0.348, 1.000, 0.0254, 0.0367, 48.0997, 15616.529479265213 
7, 5452, 0.0831, 0.0000, 98.438, 100.000, 1.000, 3352.9835181236267, 0.0590, 0.0000, 0.552, 0.997, 0.0168, 0.0226, 48.0005, 19549.511745214462 
8, 4752, 0.1207, 0.0000, 95.312, 100.000, 1.000, 3885.6023848056793, 0.0504, 0.0000, 0.598, 0.980, 0.0208, 0.0279, 48.0982, 23487.39172935486 
9, 4402, 0.3173, 0.0010, 95.312, 96.875, 0.969, 4371.614133834839, 0.0626, 0.0000, 0.517, 0.997, 0.0542, 0.0061, 47.7256, 27409.771765947342 
10, 4052, 0.3837, 0.0000, 85.938, 100.000, 1.000, 4859.3367347717285, 0.0587, 0.0000, 0.539, 0.995, 0.0412, 0.0000, 48.0336, 31330.69020652771 
11, 3702, 0.4377, 0.0000, 84.375, 98.438, 1.000, 5349.004248142242, 0.1399, 0.0000, 0.051, 0.997, 0.1250, 0.0455, 48.0583, 35139.07407617569 
12, 3352, 0.5326, 0.0000, 85.938, 96.875, 1.000, 5840.505753993988, 0.1300, 0.0000, 0.097, 1.000, 0.0606, 0.1154, 48.0985, 38956.53330087662 
13, 3002, 0.6899, 0.0000, 79.688, 98.438, 1.000, 6333.921803474426, 0.1336, 0.0000, 0.079, 0.994, 0.0345, 0.1071, 48.0513, 42774.692269563675 
14, 2652, 0.7637, 0.0018, 78.125, 93.750, 0.969, 6829.07861495018, 0.1026, 0.0000, 0.241, 1.000, 0.0118, 0.0127, 47.9813, 46634.0243229866 
15, 2302, 0.6923, 0.0000, 82.812, 96.875, 1.000, 7326.180549383163, 0.0819, 0.0000, 0.359, 0.988, 0.0167, 0.0094, 47.9461, 50504.388768434525 
16, 1952, 1.2905, 0.0000, 59.375, 92.188, 1.000, 7955.114471197128, 0.1211, 0.0000, 0.141, 0.995, 0.0270, 0.0652, 48.0211, 54319.99129772186 
17, 1602, 1.1304, 0.0000, 67.188, 92.188, 1.000, 8456.310226678848, 0.1274, 0.0000, 0.107, 1.000, 0.0571, 0.1379, 48.0250, 58126.37515664101 
18, 1252, 1.4715, 0.0000, 54.688, 89.062, 1.000, 8959.183299541473, 0.1365, 0.0000, 0.067, 0.992, 0.1429, 0.0000, 48.0177, 61938.64659380913 
19, 902, 2.0785, 0.0000, 40.625, 76.562, 1.000, 9464.239706516266, 0.1324, 0.0000, 0.064, 0.999, 0.0588, 0.1579, 48.0472, 65736.16742348671 
20, 552, 2.6527, 0.0000, 25.000, 65.625, 1.000, 9971.21302652359, 0.1358, 0.0000, 0.059, 0.987, 0.0556, 0.0714, 48.0387, 69530.189234972 
21, 202, 3.5681, 0.0043, 21.875, 51.562, 0.938, 10479.99089717865, 0.1320, 0.0000, 0.066, 0.961, 0.2143, 0.0500, 48.0616, 73345.98341727257 
22, 0, 3.9702, 0.0000, 10.938, 35.938, 1.000, 10990.07604932785, 0.1334, 0.0000, 0.062, 0.983, 0.1250, 0.0714, 48.2373, 77155.22143340111 
