Files already downloaded and verified
CIFAR100_resnet50_350_100_0.0_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.0 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/text/log_CIFAR100_resnet50_350_100_0.0_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=5
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
5, 6152, 0.0230, 0.6158, 98.438, 100.000, 0.094, 2387.1263847351074, 0.0341, 0.0252, 0.762, 0.115, 0.1464, 0.0781, 64.9105, 3982.8493769168854 
6, 5802, 0.0063, 0.9546, 100.000, 100.000, 0.062, 2864.9514694213867, 0.0341, 0.0255, 0.759, 0.113, 0.1121, 0.1303, 47.3168, 7948.716849327087 
7, 5452, 0.0077, 0.5948, 100.000, 100.000, 0.219, 3344.407692670822, 0.0340, 0.0248, 0.758, 0.111, 0.1202, 0.0996, 47.2928, 11910.930478572845 
8, 4752, 0.0737, 0.8540, 96.875, 100.000, 0.125, 3877.839846611023, 0.0358, 0.0237, 0.734, 0.113, 0.1278, 0.0717, 47.1470, 15869.066714048386 
9, 4402, 0.1108, 0.7043, 98.438, 100.000, 0.062, 4361.830770254135, 0.0367, 0.0226, 0.723, 0.113, 0.1577, 0.0739, 47.2595, 19830.68741774559 
10, 4052, 0.1247, 0.8799, 96.875, 100.000, 0.125, 4847.150524139404, 0.0364, 0.0223, 0.720, 0.111, 0.1239, 0.0682, 47.1387, 23782.561489343643 
11, 3702, 0.1786, 0.6224, 95.312, 100.000, 0.094, 5334.623572349548, 0.0375, 0.0225, 0.699, 0.108, 0.1213, 0.0792, 47.3638, 27738.021584510803 
12, 3352, 0.2713, 0.7645, 92.188, 100.000, 0.031, 5824.465371608734, 0.0378, 0.0218, 0.687, 0.110, 0.1275, 0.0664, 47.2722, 31677.6315844059 
13, 3002, 0.3942, 0.7197, 85.938, 100.000, 0.031, 6315.774243593216, 0.0412, 0.0216, 0.662, 0.108, 0.0900, 0.1089, 47.2747, 35617.23351216316 
14, 2652, 0.5091, 0.5369, 85.938, 96.875, 0.188, 6808.671563386917, 0.0437, 0.0206, 0.632, 0.101, 0.1429, 0.0859, 47.3513, 39557.710223674774 
15, 2302, 0.5383, 0.8073, 82.812, 96.875, 0.094, 7303.15539765358, 0.0522, 0.0185, 0.567, 0.117, 0.0824, 0.0365, 47.1814, 43479.30123114586 
16, 1952, 0.9088, 0.6311, 76.562, 95.312, 0.062, 7930.12172293663, 0.0434, 0.0217, 0.623, 0.093, 0.0909, 0.0938, 47.3266, 47413.18322825432 
17, 1602, 0.8241, 0.6318, 71.875, 95.312, 0.062, 8429.086424827576, 0.0497, 0.0207, 0.575, 0.102, 0.0926, 0.0677, 47.2093, 51328.69316864014 
18, 1252, 1.2916, 0.6407, 59.375, 90.625, 0.062, 8929.581604242325, 0.0563, 0.0166, 0.524, 0.099, 0.0688, 0.0391, 47.2402, 55244.052992105484 
19, 902, 1.9823, 0.4511, 50.000, 76.562, 0.094, 9431.650935411453, 0.0646, 0.0169, 0.454, 0.123, 0.0490, 0.0679, 47.2336, 59144.23080587387 
20, 552, 2.3052, 0.2480, 35.938, 78.125, 0.156, 9936.049732208252, 0.0789, 0.0087, 0.355, 0.147, 0.0619, 0.0690, 47.2630, 63016.81228804588 
21, 202, 3.1449, 0.2172, 18.750, 59.375, 0.125, 10442.305560588837, 0.1071, 0.0071, 0.175, 0.218, 0.0000, 0.0370, 47.2539, 66839.7075586319 
22, 0, 3.9794, 0.0022, 14.062, 37.500, 0.938, 10950.04621720314, 0.1269, 0.0001, 0.083, 0.976, 0.0833, 0.0500, 47.2666, 70640.89065313339 
