Files already downloaded and verified
CIFAR100_resnet50_350_100_0.02_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.02 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/log_CIFAR100_resnet50_350_100_0.02_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=0
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
0, 7552, 0.0027, 0.6924, 100.000, 100.000, 0.156, 25.04845690727234, 0.0336, 0.0248, 0.768, 0.126, 0.1471, 0.0754, 66.1048, 3999.74582529068 
1, 7552, 0.0029, 0.2491, 100.000, 100.000, 0.312, 497.8865489959717, 0.0352, 0.0119, 0.754, 0.246, 0.2140, 0.1688, 48.2293, 7977.5295531749725 
2, 7202, 0.0123, 0.1803, 100.000, 100.000, 0.312, 971.8117275238037, 0.0347, 0.0067, 0.752, 0.330, 0.1581, 0.1515, 48.2516, 11958.543049573898 
3, 6852, 0.0148, 0.0717, 100.000, 100.000, 0.625, 1447.0978541374207, 0.0348, 0.0043, 0.750, 0.399, 0.1639, 0.1224, 48.2611, 15940.859524726868 
4, 6502, 0.0063, 0.0579, 100.000, 100.000, 0.594, 1924.541844367981, 0.0360, 0.0020, 0.732, 0.525, 0.1186, 0.0636, 48.2327, 19923.658438920975 
5, 6152, 0.0121, 0.0478, 100.000, 100.000, 0.594, 2403.8679926395416, 0.0381, 0.0011, 0.715, 0.639, 0.0351, 0.0223, 48.3389, 23897.87949490547 
6, 5802, 0.0059, 0.0082, 100.000, 100.000, 0.875, 2885.6539640426636, 0.0393, 0.0008, 0.703, 0.699, 0.0278, 0.0000, 48.1878, 27859.964762449265 
7, 5452, 0.0203, 0.0361, 100.000, 100.000, 0.781, 3369.696342945099, 0.0369, 0.0011, 0.721, 0.663, 0.0329, 0.0219, 48.3673, 31842.599447727203 
8, 4752, 0.0498, 0.0301, 100.000, 100.000, 0.750, 3908.8647577762604, 0.0452, 0.0003, 0.646, 0.852, 0.0201, 0.0103, 48.2119, 35796.83490228653 
9, 4402, 0.1731, 0.0175, 96.875, 100.000, 0.781, 4402.721702575684, 0.0449, 0.0004, 0.645, 0.829, 0.0398, 0.0143, 48.2427, 39758.03278565407 
10, 4052, 0.1672, 0.0227, 95.312, 100.000, 0.781, 4898.34378194809, 0.0421, 0.0006, 0.657, 0.792, 0.0140, 0.0141, 48.2460, 43725.49008893967 
11, 3702, 0.1819, 0.0049, 96.875, 100.000, 0.875, 5395.583091974258, 0.0472, 0.0005, 0.613, 0.823, 0.0253, 0.0000, 48.2055, 47672.407294511795 
12, 3352, 0.3431, 0.0133, 95.312, 100.000, 0.812, 5894.901921272278, 0.0509, 0.0007, 0.587, 0.759, 0.0363, 0.0212, 48.2611, 51617.62955188751 
13, 3002, 0.4121, 0.0101, 92.188, 98.438, 0.875, 6395.780559301376, 0.0556, 0.0003, 0.552, 0.884, 0.0533, 0.0281, 48.2595, 55559.255549669266 
14, 2652, 0.6236, 0.0000, 81.250, 96.875, 1.000, 6899.435804367065, 0.0611, 0.0001, 0.508, 0.942, 0.0417, 0.0162, 48.2573, 59494.36101794243 
15, 2302, 0.7513, 0.0104, 75.000, 96.875, 0.906, 7404.677148580551, 0.0660, 0.0003, 0.469, 0.884, 0.0493, 0.0294, 48.2714, 63406.64566421509 
16, 1952, 0.9246, 0.0244, 76.562, 93.750, 0.750, 8044.131577014923, 0.0583, 0.0003, 0.523, 0.869, 0.0112, 0.0118, 48.2040, 67339.78636813164 
17, 1602, 0.8748, 0.0696, 73.438, 98.438, 0.500, 8554.074153900146, 0.0794, 0.0001, 0.381, 0.921, 0.0240, 0.0085, 48.2076, 71245.49378275871 
18, 1252, 1.5167, 0.0037, 54.688, 89.062, 0.844, 9065.21128153801, 0.0965, 0.0003, 0.251, 0.829, 0.0500, 0.0135, 48.2097, 75111.87973165512 
19, 902, 2.1456, 0.0270, 43.750, 76.562, 0.469, 9578.39777135849, 0.1006, 0.0003, 0.225, 0.812, 0.0256, 0.0000, 48.1867, 78970.1910264492 
20, 552, 2.5885, 0.0366, 34.375, 67.188, 0.656, 10093.218215465546, 0.1075, 0.0005, 0.192, 0.730, 0.0182, 0.0141, 48.2021, 82818.98842740059 
21, 202, 3.4609, 0.0576, 15.625, 48.438, 0.500, 10609.96053981781, 0.1175, 0.0009, 0.135, 0.621, 0.0541, 0.0435, 48.2535, 86650.80539250374 
22, 0, 3.9506, 0.0000, 10.938, 39.062, 1.000, 11128.281839370728, 0.1296, 0.0000, 0.066, 0.992, 0.0556, 0.0435, 48.2463, 90467.04671382904 
