Files already downloaded and verified
CIFAR100_resnet50_350_100_0.05_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.05 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/text/log_CIFAR100_resnet50_350_100_0.05_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=8
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
8, 4752, 0.0543, 0.0058, 98.438, 100.000, 0.906, 3875.3515462875366, 0.0510, 0.0001, 0.606, 0.955, 0.0219, 0.0098, 65.3204, 3955.0532343387604 
9, 4402, 0.2258, 0.0056, 90.625, 100.000, 0.875, 4359.3542740345, 0.0531, 0.0002, 0.583, 0.930, 0.0220, 0.0165, 47.5924, 7879.40407037735 
10, 4052, 0.1918, 0.0010, 95.312, 100.000, 0.969, 4845.055073261261, 0.0548, 0.0001, 0.571, 0.968, 0.0275, 0.0223, 47.5635, 11801.4697868824 
11, 3702, 0.2852, 0.0081, 87.500, 100.000, 0.844, 5332.7267208099365, 0.0774, 0.0000, 0.420, 0.987, 0.0213, 0.0000, 47.4862, 15685.424849271774 
12, 3352, 0.3017, 0.0537, 90.625, 100.000, 0.688, 5822.155576944351, 0.1245, 0.0000, 0.123, 0.967, 0.0270, 0.0000, 47.3490, 19495.025923490524 
13, 3002, 0.4154, 0.0000, 87.500, 98.438, 1.000, 6313.588973045349, 0.0659, 0.0001, 0.477, 0.968, 0.0186, 0.0141, 47.4515, 23401.617344379425 
14, 2652, 0.5642, 0.0250, 81.250, 98.438, 0.750, 6806.7835166454315, 0.0837, 0.0000, 0.363, 0.994, 0.0526, 0.0000, 47.5763, 27291.454648971558 
15, 2302, 0.6694, 0.0000, 82.812, 98.438, 1.000, 7301.852834939957, 0.0995, 0.0000, 0.261, 1.000, 0.0494, 0.0222, 47.4951, 31151.15728163719 
16, 1952, 1.1943, 0.0000, 71.875, 89.062, 1.000, 7928.375227212906, 0.0749, 0.0001, 0.414, 0.950, 0.0238, 0.0407, 47.5147, 35037.70054268837 
17, 1602, 1.2056, 0.0035, 65.625, 93.750, 0.938, 8427.110714912415, 0.1341, 0.0000, 0.071, 0.997, 0.0000, 0.0000, 47.3594, 38825.99755144119 
18, 1252, 1.3942, 0.0011, 59.375, 90.625, 0.969, 8927.651077508926, 0.1066, 0.0001, 0.221, 0.956, 0.0152, 0.0000, 47.5625, 42671.100100040436 
19, 902, 1.9368, 0.0024, 43.750, 82.812, 0.938, 9430.202847957611, 0.0922, 0.0003, 0.286, 0.834, 0.0222, 0.0000, 47.5150, 46532.03720355034 
20, 552, 2.7159, 0.0141, 31.250, 57.812, 0.875, 9934.380647182465, 0.1253, 0.0002, 0.102, 0.882, 0.1364, 0.0000, 47.3872, 50329.03457903862 
21, 202, 3.3017, 0.0183, 14.062, 53.125, 0.750, 10440.761571407318, 0.1233, 0.0004, 0.097, 0.805, 0.0625, 0.1071, 47.5290, 54150.406098127365 
22, 0, 3.9498, 0.0000, 10.938, 34.375, 1.000, 10948.37763094902, 0.1342, 0.0000, 0.057, 0.993, 0.0714, 0.1053, 47.5475, 57962.611976861954 
