Files already downloaded and verified
CIFAR100_resnet50_350_100_0.01_RobustnessG_eps=0.3,_delta=0.52__32
test_models.py --dataset=CIFAR100 --model=resnet50 --tensorboard=True --pruning_config=./configs/CIFAR100_350_100.json --constraint=RobustnessG(eps=0.3, delta=0.52) --dl2-weight=0.01 --batch-size=32 --name=CIFAR100_res_64_final --checkpoint_folder=CIFAR100_res_64 --log_file=process_output/log_CIFAR100_resnet50_350_100_0.01_RobustnessG_eps=0.3,_delta=0.52__64.txt --starting_line=0
print_iter, neuron_units, train_loss, train_dl2_loss, train_top1, train_top5, train_cons, train_time, test_loss, test_dl2_loss, test_acc, test_constr, adv_acc1, adv_acc2, inf_time, test_time
0, 7552, 0.0027, 0.5731, 100.000, 100.000, 0.125, 24.977182388305664, 0.0336, 0.0247, 0.768, 0.123, 0.1471, 0.0754, 65.4283, 3982.745133161545 
1, 7552, 0.0018, 0.4102, 100.000, 100.000, 0.250, 493.69379448890686, 0.0339, 0.0165, 0.763, 0.174, 0.1545, 0.1618, 47.7013, 7950.983404636383 
2, 7202, 0.0071, 0.3201, 100.000, 100.000, 0.156, 964.1000497341156, 0.0340, 0.0128, 0.763, 0.214, 0.1488, 0.1496, 47.4442, 11915.4039580822 
3, 6852, 0.0083, 0.2998, 100.000, 100.000, 0.344, 1436.107929944992, 0.0342, 0.0103, 0.761, 0.258, 0.2181, 0.1134, 47.5670, 15883.869366407394 
4, 6502, 0.0049, 0.3229, 100.000, 100.000, 0.250, 1909.7011046409607, 0.0341, 0.0077, 0.757, 0.306, 0.2114, 0.0966, 47.6629, 19855.577748775482 
5, 6152, 0.0215, 0.2393, 98.438, 100.000, 0.375, 2385.504587173462, 0.0344, 0.0061, 0.753, 0.331, 0.1310, 0.0936, 47.3261, 23819.9674346447 
6, 5802, 0.0047, 0.1421, 100.000, 100.000, 0.344, 2862.9368069171906, 0.0343, 0.0051, 0.750, 0.350, 0.1398, 0.0533, 47.5599, 27780.41872549057 
7, 5452, 0.0195, 0.0815, 100.000, 100.000, 0.500, 3342.736465215683, 0.0341, 0.0045, 0.750, 0.354, 0.1267, 0.0451, 47.4796, 31740.853002786636 
8, 4752, 0.0703, 0.1328, 98.438, 100.000, 0.406, 3874.347333908081, 0.0361, 0.0029, 0.721, 0.439, 0.0580, 0.0512, 47.5264, 35689.00046801567 
9, 4402, 0.1392, 0.0707, 95.312, 100.000, 0.406, 4359.076388120651, 0.0373, 0.0024, 0.704, 0.476, 0.0913, 0.0220, 47.5329, 39642.28565478325 
10, 4052, 0.1636, 0.0680, 95.312, 100.000, 0.438, 4844.907356023788, 0.0380, 0.0019, 0.692, 0.524, 0.0175, 0.0090, 47.5207, 43597.188304424286 
11, 3702, 0.2084, 0.0318, 96.875, 100.000, 0.688, 5332.019892692566, 0.0389, 0.0016, 0.678, 0.560, 0.0421, 0.0099, 47.6471, 47541.880286216736 
12, 3352, 0.2929, 0.0867, 90.625, 100.000, 0.438, 5821.573756456375, 0.0423, 0.0016, 0.647, 0.569, 0.0452, 0.0098, 47.3429, 51473.13382434845 
13, 3002, 0.4973, 0.0456, 84.375, 98.438, 0.375, 6312.767948627472, 0.0455, 0.0015, 0.620, 0.585, 0.0798, 0.0421, 47.7244, 55403.176491975784 
14, 2652, 0.7359, 0.0210, 82.812, 95.312, 0.781, 6805.981813430786, 0.0489, 0.0014, 0.586, 0.594, 0.0508, 0.0300, 47.6462, 59333.33377170563 
15, 2302, 0.7572, 0.0314, 73.438, 98.438, 0.719, 7300.650059461594, 0.0572, 0.0015, 0.520, 0.566, 0.0816, 0.0139, 47.6240, 63229.86390829086 
16, 1952, 0.9626, 0.0552, 75.000, 92.188, 0.688, 7927.786151885986, 0.0537, 0.0010, 0.552, 0.667, 0.0267, 0.0168, 47.3603, 67145.62908220291 
17, 1602, 1.1016, 0.0375, 65.625, 90.625, 0.625, 8427.58948469162, 0.0668, 0.0005, 0.457, 0.776, 0.0205, 0.0139, 47.6151, 71042.26799821854 
18, 1252, 1.5587, 0.0157, 57.812, 87.500, 0.719, 8928.362025976181, 0.0679, 0.0015, 0.444, 0.561, 0.0559, 0.0157, 47.5402, 74925.1385834217 
19, 902, 2.0610, 0.2081, 42.188, 75.000, 0.156, 9430.72415971756, 0.0661, 0.0077, 0.448, 0.189, 0.0455, 0.0604, 47.6539, 78816.4717540741 
20, 552, 2.5750, 0.2355, 31.250, 67.188, 0.250, 9935.13614988327, 0.0786, 0.0063, 0.352, 0.213, 0.0654, 0.0583, 47.4561, 82680.540640831 
21, 202, 3.4174, 0.1162, 26.562, 45.312, 0.219, 10441.408473014832, 0.1109, 0.0033, 0.152, 0.309, 0.0769, 0.0233, 47.5617, 86485.06305146217 
22, 0, 3.9036, 0.0000, 20.312, 39.062, 1.000, 10949.175450086594, 0.1300, 0.0000, 0.063, 0.991, 0.0455, 0.1111, 47.4059, 90265.86767268181 
