epoch, neuron_units, loss, dl2_loss, top1, top5, dl2_p_acc, dl2_constraint_acc
1, 7552, 0.0027, 0.8011, 100.000, 100.000, 0.000, 0.094, 0, 25.685062408447266 
1, 7552, 0.0014, 0.7763, 100.000, 100.000, 0.000, 0.219, 100, 494.11153841018677 
1, 7202, 0.0035, 0.9605, 100.000, 100.000, 0.000, 0.031, 200, 964.7452163696289 
1, 6852, 0.0018, 0.6778, 100.000, 100.000, 0.000, 0.062, 300, 1437.193959236145 
1, 6502, 0.0029, 0.7143, 100.000, 100.000, 0.000, 0.062, 400, 1911.249759197235 
1, 6152, 0.0230, 0.6158, 98.438, 100.000, 0.000, 0.094, 500, 2387.1263847351074 
1, 5802, 0.0063, 0.9546, 100.000, 100.000, 0.000, 0.062, 600, 2864.9514694213867 
1, 5452, 0.0077, 0.5948, 100.000, 100.000, 0.000, 0.219, 700, 3344.407692670822 
2, 4752, 0.0737, 0.8540, 96.875, 100.000, 0.000, 0.125, 800, 3877.839846611023 
2, 4402, 0.1108, 0.7043, 98.438, 100.000, 0.000, 0.062, 900, 4361.830770254135 
2, 4052, 0.1247, 0.8799, 96.875, 100.000, 0.000, 0.125, 1000, 4847.150524139404 
2, 3702, 0.1786, 0.6224, 95.312, 100.000, 0.000, 0.094, 1100, 5334.623572349548 
2, 3352, 0.2713, 0.7645, 92.188, 100.000, 0.000, 0.031, 1200, 5824.465371608734 
2, 3002, 0.3942, 0.7197, 85.938, 100.000, 0.000, 0.031, 1300, 6315.774243593216 
2, 2652, 0.5091, 0.5369, 85.938, 96.875, 0.000, 0.188, 1400, 6808.671563386917 
2, 2302, 0.5383, 0.8073, 82.812, 96.875, 0.000, 0.094, 1500, 7303.15539765358 
3, 1952, 0.9088, 0.6311, 76.562, 95.312, 0.000, 0.062, 2400, 7930.12172293663 
3, 1602, 0.8241, 0.6318, 71.875, 95.312, 0.000, 0.062, 2500, 8429.086424827576 
3, 1252, 1.2916, 0.6407, 59.375, 90.625, 0.000, 0.062, 2600, 8929.581604242325 
3, 902, 1.9823, 0.4511, 50.000, 76.562, 0.000, 0.094, 2700, 9431.650935411453 
3, 552, 2.3052, 0.2480, 35.938, 78.125, 0.000, 0.156, 2800, 9936.049732208252 
3, 202, 3.1449, 0.2172, 18.750, 59.375, 0.000, 0.125, 2900, 10442.305560588837 
3, 0, 3.9794, 0.0022, 14.062, 37.500, 0.000, 0.938, 3000, 10950.04621720314 
